epoch,from,address,tags,args,hex
1790401632.454,127.0.0.1:8000,/float-1,",f",[0.0],2f666c6f61742d31000000002c66000000000000
1790401632.465,127.0.0.1:8000,/float-1,",f",[3.8e-05],2f666c6f61742d31000000002c660000381ede69
1790401632.486,127.0.0.1:8000,/float-1,",f",[7.6e-05],2f666c6f61742d31000000002c660000389ede69
1790401632.496,127.0.0.1:8000,/float-1,",f",[0.000114],2f666c6f61742d31000000002c66000038ee4d9e
1790401632.517,127.0.0.1:8000,/float-1,",f",[0.000152],2f666c6f61742d31000000002c660000391ede69
1790401632.527,127.0.0.1:8000,/float-1,",f",[0.000189],2f666c6f61742d31000000002c66000039469604
1790401632.549,127.0.0.1:8000,/float-1,",f",[0.000227],2f666c6f61742d31000000002c660000396e4d9e
1790401632.569,127.0.0.1:8000,/float-1,",f",[0.000265],2f666c6f61742d31000000002c660000398b029c
1790401632.580,127.0.0.1:8000,/float-1,",f",[0.000303],2f666c6f61742d31000000002c660000399ede69
1790401632.601,127.0.0.1:8000,/float-1,",f",[0.000341],2f666c6f61742d31000000002c66000039b2ba37
1790401632.612,127.0.0.1:8000,/float-1,",f",[0.000379],2f666c6f61742d31000000002c66000039c69604
1790401632.633,127.0.0.1:8000,/float-1,",f",[0.000417],2f666c6f61742d31000000002c66000039da71d1
1790401632.653,127.0.0.1:8000,/float-1,",f",[0.000455],2f666c6f61742d31000000002c66000039ee4d9e
1790401632.663,127.0.0.1:8000,/float-1,",f",[0.000492],2f666c6f61742d31000000002c6600003a0114b6
1790401632.684,127.0.0.1:8000,/float-1,",f",[0.00053],2f666c6f61742d31000000002c6600003a0b029c
1790401632.695,127.0.0.1:8000,/float-1,",f",[0.000568],2f666c6f61742d31000000002c6600003a14f083
1790401632.716,127.0.0.1:8000,/float-1,",f",[0.000606],2f666c6f61742d31000000002c6600003a1ede69
1790401632.727,127.0.0.1:8000,/float-1,",f",[0.000644],2f666c6f61742d31000000002c6600003a28cc50
1790401632.748,127.0.0.1:8000,/float-1,",f",[0.000682],2f666c6f61742d31000000002c6600003a32ba37
1790401632.769,127.0.0.1:8000,/float-1,",f",[0.00072],2f666c6f61742d31000000002c6600003a3ca81d
1790401632.781,127.0.0.1:8000,/float-1,",f",[0.000758],2f666c6f61742d31000000002c6600003a469604
1790401632.802,127.0.0.1:8000,/float-1,",f",[0.000795],2f666c6f61742d31000000002c6600003a5083ea
1790401632.814,127.0.0.1:8000,/float-1,",f",[0.000833],2f666c6f61742d31000000002c6600003a5a71d1
1790401632.834,127.0.0.1:8000,/float-1,",f",[0.000871],2f666c6f61742d31000000002c6600003a645fb8
1790401632.845,127.0.0.1:8000,/float-1,",f",[0.000909],2f666c6f61742d31000000002c6600003a6e4d9e
1790401632.865,127.0.0.1:8000,/float-1,",f",[0.000947],2f666c6f61742d31000000002c6600003a783b85
1790401632.887,127.0.0.1:8000,/float-1,",f",[0.000985],2f666c6f61742d31000000002c6600003a8114b6
1790401632.898,127.0.0.1:8000,/float-1,",f",[0.001023],2f666c6f61742d31000000002c6600003a860ba9
1790401632.918,127.0.0.1:8000,/float-1,",f",[0.001061],2f666c6f61742d31000000002c6600003a8b029c
1790401632.930,127.0.0.1:8000,/float-1,",f",[0.001098],2f666c6f61742d31000000002c6600003a8ff990
1790401632.951,127.0.0.1:8000,/float-1,",f",[0.001136],2f666c6f61742d31000000002c6600003a94f083
1790401632.962,127.0.0.1:8000,/float-1,",f",[0.001174],2f666c6f61742d31000000002c6600003a99e776
1790401632.983,127.0.0.1:8000,/float-1,",f",[0.001212],2f666c6f61742d31000000002c6600003a9ede69
1790401632.994,127.0.0.1:8000,/float-1,",f",[0.00125],2f666c6f61742d31000000002c6600003aa3d55d
1790401633.015,127.0.0.1:8000,/float-1,",f",[0.001288],2f666c6f61742d31000000002c6600003aa8cc50
1790401633.036,127.0.0.1:8000,/float-1,",f",[0.001326],2f666c6f61742d31000000002c6600003aadc343
1790401633.046,127.0.0.1:8000,/float-1,",f",[0.001364],2f666c6f61742d31000000002c6600003ab2ba37
1790401633.067,127.0.0.1:8000,/float-1,",f",[0.001401],2f666c6f61742d31000000002c6600003ab7b12a
1790401633.078,127.0.0.1:8000,/float-1,",f",[0.001439],2f666c6f61742d31000000002c6600003abca81d
1790401633.098,127.0.0.1:8000,/float-1,",f",[0.001477],2f666c6f61742d31000000002c6600003ac19f11
1790401633.120,127.0.0.1:8000,/float-1,",f",[0.001515],2f666c6f61742d31000000002c6600003ac69604
1790401633.131,127.0.0.1:8000,/float-1,",f",[0.001553],2f666c6f61742d31000000002c6600003acb8cf7
1790401633.152,127.0.0.1:8000,/float-1,",f",[0.001591],2f666c6f61742d31000000002c6600003ad083ea
1790401633.163,127.0.0.1:8000,/float-1,",f",[0.001629],2f666c6f61742d31000000002c6600003ad57ade
1790401633.185,127.0.0.1:8000,/float-1,",f",[0.001667],2f666c6f61742d31000000002c6600003ada71d1
1790401633.195,127.0.0.1:8000,/float-1,",f",[0.001704],2f666c6f61742d31000000002c6600003adf68c4
1790401633.215,127.0.0.1:8000,/float-1,",f",[0.001742],2f666c6f61742d31000000002c6600003ae45fb8
1790401633.236,127.0.0.1:8000,/float-1,",f",[0.00178],2f666c6f61742d31000000002c6600003ae956ab
1790401633.246,127.0.0.1:8000,/float-1,",f",[0.001818],2f666c6f61742d31000000002c6600003aee4d9e
1790401633.267,127.0.0.1:8000,/float-1,",f",[0.001856],2f666c6f61742d31000000002c6600003af34491
1790401633.277,127.0.0.1:8000,/float-1,",f",[0.001894],2f666c6f61742d31000000002c6600003af83b85
1790401633.298,127.0.0.1:8000,/float-1,",f",[0.001932],2f666c6f61742d31000000002c6600003afd3278
1790401633.319,127.0.0.1:8000,/float-1,",f",[0.00197],2f666c6f61742d31000000002c6600003b0114b6
1790401633.330,127.0.0.1:8000,/float-1,",f",[0.002007],2f666c6f61742d31000000002c6600003b03902f
1790401633.352,127.0.0.1:8000,/float-1,",f",[0.002045],2f666c6f61742d31000000002c6600003b060ba9
1790401633.362,127.0.0.1:8000,/float-1,",f",[0.002083],2f666c6f61742d31000000002c6600003b088723
1790401633.383,127.0.0.1:8000,/float-1,",f",[0.002121],2f666c6f61742d31000000002c6600003b0b029c
1790401633.393,127.0.0.1:8000,/float-1,",f",[0.002159],2f666c6f61742d31000000002c6600003b0d7e16
1790401633.415,127.0.0.1:8000,/float-1,",f",[0.002197],2f666c6f61742d31000000002c6600003b0ff990
1790401633.435,127.0.0.1:8000,/float-1,",f",[0.002235],2f666c6f61742d31000000002c6600003b127509
1790401633.446,127.0.0.1:8000,/float-1,",f",[0.002273],2f666c6f61742d31000000002c6600003b14f083
1790401633.467,127.0.0.1:8000,/float-1,",f",[0.002311],2f666c6f61742d31000000002c6600003b176bfd
1790401633.477,127.0.0.1:8000,/float-1,",f",[0.002348],2f666c6f61742d31000000002c6600003b19e776
1790401633.499,127.0.0.1:8000,/float-1,",f",[0.002386],2f666c6f61742d31000000002c6600003b1c62f0
1790401633.520,127.0.0.1:8000,/float-1,",f",[0.002424],2f666c6f61742d31000000002c6600003b1ede69
1790401633.530,127.0.0.1:8000,/float-1,",f",[0.002462],2f666c6f61742d31000000002c6600003b2159e3
1790401633.551,127.0.0.1:8000,/float-1,",f",[0.0025],2f666c6f61742d31000000002c6600003b23d55d
1790401633.561,127.0.0.1:8000,/float-1,",f",[0.002538],2f666c6f61742d31000000002c6600003b2650d6
1790401633.583,127.0.0.1:8000,/float-1,",f",[0.002576],2f666c6f61742d31000000002c6600003b28cc50
1790401633.593,127.0.0.1:8000,/float-1,",f",[0.002614],2f666c6f61742d31000000002c6600003b2b47ca
1790401633.615,127.0.0.1:8000,/float-1,",f",[0.002651],2f666c6f61742d31000000002c6600003b2dc343
1790401633.636,127.0.0.1:8000,/float-1,",f",[0.002689],2f666c6f61742d31000000002c6600003b303ebd
1790401633.646,127.0.0.1:8000,/float-1,",f",[0.002727],2f666c6f61742d31000000002c6600003b32ba37
1790401633.668,127.0.0.1:8000,/float-1,",f",[0.002765],2f666c6f61742d31000000002c6600003b3535b0
1790401633.678,127.0.0.1:8000,/float-1,",f",[0.002803],2f666c6f61742d31000000002c6600003b37b12a
1790401633.699,127.0.0.1:8000,/float-1,",f",[0.002841],2f666c6f61742d31000000002c6600003b3a2ca4
1790401633.720,127.0.0.1:8000,/float-1,",f",[0.002879],2f666c6f61742d31000000002c6600003b3ca81d
1790401633.731,127.0.0.1:8000,/float-1,",f",[0.002917],2f666c6f61742d31000000002c6600003b3f2397
1790401633.752,127.0.0.1:8000,/float-1,",f",[0.002954],2f666c6f61742d31000000002c6600003b419f11
1790401633.762,127.0.0.1:8000,/float-1,",f",[0.002992],2f666c6f61742d31000000002c6600003b441a8a
1790401633.783,127.0.0.1:8000,/float-1,",f",[0.00303],2f666c6f61742d31000000002c6600003b469604
1790401633.803,127.0.0.1:8000,/float-1,",f",[0.003068],2f666c6f61742d31000000002c6600003b49117d
1790401633.813,127.0.0.1:8000,/float-1,",f",[0.003106],2f666c6f61742d31000000002c6600003b4b8cf7
1790401633.835,127.0.0.1:8000,/float-1,",f",[0.003144],2f666c6f61742d31000000002c6600003b4e0871
